split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.5658333333333333, eval_accuracy=0.6481111111111111
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6945, eval_accuracy=0.6844814814814815
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.6300833333333333, eval_accuracy=0.6840416666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.7225, eval_accuracy=0.7125208333333334
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.6711, eval_accuracy=0.7218333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.7398, eval_accuracy=0.7407666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.6907708333333333, eval_accuracy=0.7473333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.7457083333333333, eval_accuracy=0.7614166666666666
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.6958148148148148, eval_accuracy=0.7681666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.7466666666666667, eval_accuracy=0.7821666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.5776666666666667, eval_accuracy=0.651425925925926
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6953333333333334, eval_accuracy=0.6857037037037037
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.6224166666666666, eval_accuracy=0.6843541666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.7236666666666667, eval_accuracy=0.714
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.6765, eval_accuracy=0.7233333333333334
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.7410333333333333, eval_accuracy=0.7427333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.6920208333333333, eval_accuracy=0.7486666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.7447916666666666, eval_accuracy=0.7604166666666666
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.6964074074074074, eval_accuracy=0.7703333333333333
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.7465925925925926, eval_accuracy=0.7838333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.5571666666666667, eval_accuracy=0.6538333333333334
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.6968333333333333, eval_accuracy=0.6847222222222222
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.725, eval_accuracy=0.7015
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.7405, eval_accuracy=0.7118518518518518
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.6935833333333333, eval_accuracy=0.7508333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.7457291666666667, eval_accuracy=0.761
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.7552916666666667, eval_accuracy=0.7650833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.7606666666666667, eval_accuracy=0.76625
